Major,SchoolWorkHours,Terms,CreditHours,Distance,Roommates,Job,SchoolMaterialsDollars,Salary,Activity,Height,CatsOrDogs,Email,TextMessages,Phone,Gaming,GamingHours,Profile,SocialTime,SubjectPreferred,International,States
Mechanical Engineering,16,6,15,297.1946012269939,4,5,100,60000,60,71,Dog,3,50,iOS,Console,0,TRUE,240,Math,TRUE,8
Computer Science,10,4,18,297.1946012269939,3,0,247.4047619047619,20000,10,63,Dog,4,100,Android,Mobile Device,1,TRUE,170,Math,FALSE,4
Computer Science,15,4,14,0.2,3,0,200,100000,20,68,Dog,11,35,iOS,Computer,25,TRUE,40,Writing,TRUE,15
Mechanical Engineering,35,7,14,0.5,4,10,200,25000,60,70,Dog,10,20,iOS,Console,2,TRUE,120,Math,TRUE,8
Mechanical Engineering,30,9,12,0.9,2,5,200,30000,60,65,Cat,7,10,iOS,Console,5,TRUE,60,Math,TRUE,4
Mechanical Engineering,22.800925925925927,7,11,297.1946012269939,25,1,247.4047619047619,40000,60,74,Dog,20,8,iOS,Console,1,TRUE,120,Math,TRUE,8
Mechanical Engineering,15,4,16,0.1,1,2,250,80000,20,68,Dog,14,10,iOS,Console,3,TRUE,30,Math,TRUE,13
Civil or CEM,20,8,15,297.1946012269939,1,4,350,70000,30,74,Dog,4,10,iOS,Console,7,TRUE,70,Writing,TRUE,11
Civil or CEM,20,7,15,297.1946012269939,4,4,400,70000,5,75,Dog,7,15,iOS,None (I don't play video games),0,TRUE,60,Math,TRUE,25
Computer Science,21,12,14,0.1,1,4,200,60000,45,70,Dog,24,100,iOS,Console,4,TRUE,90,Math,TRUE,18
Industrial Engineering,12,4,13,0.6,2,1,60,64308.403755868545,0,68,Cat,17,37,Android,Console,0,TRUE,90,Math,FALSE,1
Mechanical Engineering,10,5,13,0,1,0,150,50000,0,67,Cat,10,32,iOS,Console,0,TRUE,210,Math,TRUE,5
Mechanical Engineering,7,13,14,0.4,1,6,150,67500,135,72,Dog,7,15,iOS,Console,5,TRUE,45,Math,TRUE,9
Mechanical Engineering,6,11,16,3,2,2,200,80000,20,70.5,Dog,4,0,iOS,Computer,4,TRUE,20,Math,TRUE,15
Computer Science,80,4,17,297.1946012269939,3,0,300,64308.403755868545,120,67.32,Cat,26,4,iOS,Computer,0,TRUE,300,Writing,FALSE,4
Civil or CEM,15,4,15,297.1946012269939,4,3,300,70000,120,75,Cat,9,5,iOS,Computer,7,TRUE,120,Math,TRUE,15
Civil or CEM,15,8,15,0.9,1,3,350,70000,120,72,Dog,20,15,iOS,Console,5,TRUE,90,Math,TRUE,5
Mechanical Engineering,20,7,15,8614,2,1,500,50000,60,69,Cat,4,500,iOS,Mobile Device,5,TRUE,270,Math,FALSE,3
Mechanical Engineering,22.800925925925927,9,14,297.1946012269939,6,2,247.4047619047619,70000,40,68.4,Dog,4,2,iOS,Console,7,TRUE,180,Writing,FALSE,12
Mechanical Engineering,36,1,15,297.1946012269939,1,2,100,65000,30,68,Dog,19,15,iOS,Console,0,TRUE,180,Math,TRUE,5
Mechanical Engineering,22.800925925925927,4,15,297.1946012269939,3,5,350,45000,120,68,Cat,15,4,iOS,Computer,1,TRUE,60,Math,TRUE,4
Civil or CEM,30,4,16,1.5,1,3,200,60000,45,66,Cat,10,20,Android,Console,1,TRUE,75,Writing,TRUE,5
Other,12,8,18,0,1,10,250,75000,75,68,Dog,28,30,iOS,Mobile Device,7,TRUE,32,Math,TRUE,3
Mechanical Engineering,20,4,15,37.7,38,2,100,50000,30,75,Dog,5,0,Android,Computer,30,TRUE,30,Math,TRUE,17
Computer Science,14,12,15,0.5,0,0,165,35000,60,69,Cat,2,45,iOS,Console,15,TRUE,360,Math,FALSE,3
Mechanical Engineering,35,4,15,84,8,4,200,55000,30,70,Cat,20,76,iOS,Mobile Device,2,TRUE,240,Math,TRUE,4
Civil or CEM,18,4,15,297.1946012269939,3,3,500,70000,30,69,Dog,9,3,iOS,Console,4,TRUE,70,Math,TRUE,15
Mechanical Engineering,40,4,16,0.5,4,4,300,45000,45,72,Dog,17,80,iOS,None (I don't play video games),0,TRUE,90,Math,TRUE,16
Mechanical Engineering,20,4,15,297.1946012269939,3,4,200,80000,90,69,Cat,11.778801843317972,13,iOS,Console,0,TRUE,123,Math,TRUE,6
Civil or CEM,30,4,15,0.1,4,7,300,67000,75,71,Dog,18,200,iOS,Console,10,TRUE,120,Math,TRUE,20
Computer Science,27,4,14,0.1,6,3,20,75000,60,70,Dog,10,100,iOS,Computer,4,TRUE,180,Math,TRUE,8
Computer Science,20,4,14,297.1946012269939,2,1,100,80000,30,70,Dog,6,50,iOS,Console,20,TRUE,60,Math,TRUE,3
Computer Science,15,7,14,87.3,6,1,250,70000,30,69,Cat,8,7,iOS,Console,5,TRUE,120,Math,TRUE,4
Computer Science,2,7,16,0.1,2,4,150,70000,20,72,Cat,18,10,iOS,Computer,8,TRUE,20,Math,TRUE,20
Mechanical Engineering,45,5,16,79.1,5,0,200,40000,120,75,Cat,11,6,Android,Console,2,TRUE,120,Math,TRUE,12
Mechanical Engineering,25,7,17,569,3,3,300,80000,90,70,Dog,15,3,iOS,Console,12,TRUE,60,Math,TRUE,16
Mechanical Engineering,25,4,18,0.1,5,3,500,80000,53.47819444444445,72,Cat,7,5,Android,Computer,50,TRUE,30,Math,TRUE,23
Civil or CEM,25,7,16,297.1946012269939,4,6,300,60000,30,74,Dog,10,20,Android,Console,2,TRUE,30,Math,TRUE,15
Computer Science,9,4,13,0.3,1,1,500,60000,30,70,Dog,9,41.06481481481482,iOS,Computer,20,TRUE,433,Math,TRUE,3
Computer Science,42,13,10,1.5,3,0,200,90000,30,72,Dog,4,3,iOS,Computer,10,TRUE,60,Math,FALSE,5
Mechanical Engineering,26,4,14,0.5,3,1,500,100000,30,69,Dog,11,30,iOS,Computer,5,TRUE,90,Math,TRUE,7
Computer Science,23,4,14,0.5,3,1,130,75000,10,66,Dog,7,100,Android,Computer,4,TRUE,90,Writing,TRUE,4
Computer Science,40,3,14,1.4,1,8,150,60000,45,70,Dog,13,48,Android,Computer,3,TRUE,12,Math,TRUE,10
Mechanical Engineering,15,4,13,297.1946012269939,4,2,100,70000,30,74,Dog,2,24,iOS,Computer,20,FALSE,0,Math,TRUE,7
Civil or CEM,20,4,15,297.1946012269939,4,8,200,75000,120,73,Dog,4,50,iOS,Console,0,TRUE,250,Math,FALSE,14
Civil or CEM,15,5,14,81,2,3,1000,50000,30,62,Cat,28,27,iOS,None (I don't play video games),0,TRUE,144,Math,TRUE,9
Civil or CEM,25,5,15,60,3,2,300,66000,40,71,Dog,7,4,iOS,Console,5,TRUE,30,Math,TRUE,9
Chemical Engineering,21,5,12,297.1946012269939,2,0,20,48000,120,62.59,Cat,16,50,iOS,Mobile Device,5,TRUE,360,Math,FALSE,8
Mechanical Engineering,30,4,16,1,3,4,400,50000,53.47819444444445,70,Cat,7,100,Android,Computer,21,TRUE,90,Math,TRUE,8
Computer Science,21,22,15,297.1946012269939,4,3,400,65000,60,71,Cat,30,30,iOS,Computer,12,TRUE,70,Writing,TRUE,5
Computer Science,25,9,15,2,2,3,247.4047619047619,45000,0,70,Cat,30,10,iOS,Computer,12,TRUE,40,Writing,TRUE,28
Computer Science,40,5,16,103,1,2,50,75000,90,72,Dog,13,50,iOS,Computer,10,TRUE,90,Math,TRUE,21
Computer Science,15,5,13,86.1,2,1,150,57500,30,70,Dog,7,35,iOS,Computer,8.532710280373832,TRUE,0,Math,TRUE,13
Computer Science,30,4,12,300,5,1,200,85000,60,72,Cat,19,70,iOS,Computer,5,TRUE,180,Math,TRUE,9
Mechanical Engineering,5,7,17,297.1946012269939,1,3,250,65000,30,69,Cat,14,3,Android,Computer,15,TRUE,60,Math,TRUE,15
Civil or CEM,30,3,18,39.2,3,1,200,60000,30,76,Cat,13,60,iOS,Console,3,TRUE,120,Math,TRUE,5
Computer Science,14,4,17,297.1946012269939,1,3,150,60000,0,79,Dog,25,42,Android,Computer,48,TRUE,200,Math,TRUE,9
Civil or CEM,6,1,16,297.1946012269939,1,1,600,77000,40,67,Dog,8,2,iOS,None (I don't play video games),0,TRUE,180,Math,TRUE,4
Computer Science,10,4,15,0.2,1,2,200,65000,45,73,Cat,3,15,iOS,Computer,15,TRUE,120,Writing,TRUE,9
Industrial Engineering,22,7,15,0.5,4,5,150,50000,45,73,Dog,12,41.06481481481482,iOS,Console,4,TRUE,180,Math,TRUE,10
Civil or CEM,15,7,15,0.5,2,4,200,64000,120,69,Dog,3,6,iOS,Console,0,TRUE,60,Math,TRUE,4
Computer Science,26,6,14,1,0,4,200,60000,20,69,Cat,12,100,Android,Console,4,TRUE,240,Math,TRUE,11
Civil or CEM,30,4,14,297.1946012269939,3,3,400,50000,60,70,Dog,42,80,iOS,Console,2,TRUE,140,Math,TRUE,3
Mechanical Engineering,24,15,15,297.1946012269939,2,0,525,64308.403755868545,60,68,Cat,5,3,iOS,Console,3,TRUE,180,Math,FALSE,6
Mechanical Engineering,18,5,13,51,3,1,300,80000,270,72,Dog,5,12,iOS,Computer,5,TRUE,70,Math,FALSE,12
Mechanical Engineering,20,7,13,1,1,4,500,70000,0,70,Dog,7,149,Android,Computer,30,TRUE,70,Math,TRUE,13
Computer Science,40,4,20,0.7,2,5,200,65000,53.47819444444445,69,Cat,10,40,iOS,Console,2,TRUE,120,Math,TRUE,7
Computer Science,7,12,9,0.5,2,3,80,64308.403755868545,20,72,Dog,11,5,iOS,Computer,0,TRUE,60,Math,TRUE,7
Civil or CEM,11,11,14,0.5,1,3,200,57500,30,67,Dog,14,101,Android,Console,2,TRUE,120,Writing,TRUE,15
Computer Science,20,4,12,79,4,1,200,70000,30,66,Dog,10,18,iOS,Computer,5,TRUE,80,Math,TRUE,6
Computer Science,4,4,15,0.5,3,4,100,50000,15,67,Cat,17,0,Android,Console,5,TRUE,45,Math,TRUE,6
Civil or CEM,35,4,18,2700,4,2,300,90000,75,72,Dog,3,9,iOS,None (I don't play video games),0,TRUE,70,Writing,TRUE,12
Mechanical Engineering,35,5,17,297.1946012269939,1,0,300,64308.403755868545,15,70,Cat,16,3,iOS,Computer,10,TRUE,90,Math,FALSE,3
Civil or CEM,17,7,12,41,4,2,300,60000,35,70,Dog,17,0,Android,Mobile Device,12,TRUE,120,Math,TRUE,2
Mechanical Engineering,8,4,15,3.3,1,1,400,60000,20,71,Cat,6,17,Android,Computer,8,TRUE,90,Math,TRUE,12
Civil or CEM,19,10,12,297.1946012269939,1,3,400,60000,1,70,Cat,0,0,Other,None (I don't play video games),0,TRUE,60,Math,TRUE,22
Other,22,2,14,0.1,3,1,150,60000,120,74,Dog,4,4,iOS,Console,0,TRUE,70,Math,TRUE,7
Mechanical Engineering,30,4,14,1,2,2,200,50000,15,70,Dog,17,17,Android,Computer,20,TRUE,120,Math,TRUE,15
Mechanical Engineering,30,4,15,0.3,2,3,250,55000,45,75,Dog,6,12,Android,Mobile Device,1,TRUE,120,Math,TRUE,5
Mechanical Engineering,35,8,14,0.4,5,3,600,65000,60,72,Dog,12,45,iOS,Console,3.5,TRUE,180,Math,TRUE,9
Civil or CEM,20,8,15,1,4,2,300,60000,40,75,Dog,5,50,iOS,Computer,15,TRUE,30,Math,TRUE,20
Computer Science,8,5,13,0.4,1,2,150,80000,110,73,Dog,8,0,iOS,Computer,1,TRUE,74,Math,TRUE,22
